"Ulasan","Tanggal_Ulasan","Label","lokasi"
"Ini adalah salah satu wisata terutama untuk yg suka foto2, di area madura. Tp tempat ini jd tidak terlalu jauh dari surabaya, so bagi kalian arek suroboyo, mampir rene cuk. …","4 tahun lalu","Positif","bukit jaddih"
"Bagus epik tempat nya hanya saja jalanan agak berkerikil bukan aspal (gak mulus lah) itu saja kendalanya...semoga saja dari pemerintah setempat bisa memperbaiki jalanan di sekitar wisata bukit Jaddih ke depannya ,","setahun lalu","Negatif","bukit jaddih"
"Bukit Jaddih sejatinya adalah tambang kapur. Uniknya, saat ini pertambangan masih berlangsung, sehingga ada alat berat dan truk yang berlalu-lalang mengangkut batu kapur. …","setahun lalu","Negatif","bukit jaddih"
"Situs penambangan kapur yang sangat luas, dan tampaklah bukit kapur yang indah. Kalau ke madura coba mampir, sekalian ke bebek sinjay. Areanya sangat luas, pas cuaca cerah hasil foto juga sangat instagramable bgt. Masuk cm bayar parkir. Di dalamnya ada kolam renang dan danau tapi dikenakan tiket tambahan.","4 tahun lalu","Positif","bukit jaddih"
"tempat ini merupakan tempat wisata dengan bukit kapur, sehingga akan sangat kotor jika kita kesini.","setahun lalu","Positif","bukit jaddih"
"sayang aksesnya kesana harus melewati jalanan rusak (jadi akses kluar masuk truk tambang juga). Saya naik mobil dikenakan karcis 20ribu di akses masuk …","2 tahun lalu","Positif","bukit jaddih"
"Bagus buat foto2.. sayangnya jalan menuju TKP masih kurang bagus. Juga fasum agar ditingkatnya shg pengunjung nyaman..
Semoga kedepan makin tertata..👍🏻👍🏻 …","4 tahun lalu","Positif","bukit jaddih"
"Cukup luas dan ada pemandu nya klo masuk.","3 tahun lalu","Negatif","bukit jaddih"
"Saya ke sini juni 2019

Bukit jaddih ini adalah penambangan kapur yang dijadikan lokasi wisata.. …","setahun lalu","Negatif","bukit jaddih"
"Parkiran cukup luas, mushola & kamar mandi cukup jauh hanya terletak di jalan masuk sebelum lokasi. Ada perahu getek juga. Terdapat banyak warung kopi. Hanya saja banyak pungli. Kurang lebih 3X harus bayar 'tiket' yang tidak jelas","setahun lalu","Positif","bukit jaddih"
"Kurang bagus terutama di bagian tiket...
Terlalu banyak minta uang atau tidak resmi.
Uang masuk 30rbu katanya sudah free sampai tempat. …","6 bulan lalu","Positif","bukit jaddih"
"Tempatnya menurut saya biasa aja utk viewnya tapi kalau bisa pakai jasa guide aja utk dapat foto-foto bagus viewnya malah jadi terlihat keren tempatnya 👍,, …","2 tahun lalu","Positif","bukit jaddih"
"banyak pungli terkesan mahal","2 bulan lalu","Negatif","bukit jaddih"
" masih banyak sampah dimana-mana mungkin harus ditambah fasilitas tempat sampah","3 bulan lalu","Negatif","bukit jaddih"
"S untuk parkirnya mahal, 50 rb untuk bus kapasitas 30 orang.","setahun lalu","Negatif","bukit jaddih"
"Kunjungan yang kesekian kalinya bersama keluarga besar, tempat tambang dan suasana bukit kapur putih tertata bekas tambang.
Goa poteh yg artistik dari hasil potongan penambang. Menghasilkan lubang goa yg menarik.","3 tahun lalu","Negatif","bukit jaddih"
"kesana lewat jalur suramadu
cukup mudah diakses dengan google map
karena di sepanjang jalan masih jarang ada petunjuk jalan ke tempat ini …","4 tahun lalu","Negatif","bukit jaddih"
" cuacanya sangat panas. Maklum pulau Madura terkenal akan panasnya. ","4 tahun lalu","Negatif","bukit jaddih"
"agak panas ya","setahun lalu","Negatif","bukit jaddih"
"Sangat disayangkan potensi wisata madura yang seharusnya bisa menjadi ikon wisata bangkalan tetapi masih banyak pungli dan keamanan menuju lokasi membuat wisatawan berpikir 2x untuk berkunjung kesini. Saya sebagai warga Bangkalan juga cukup …","setahun lalu","Negatif","bukit jaddih"
"Takjub dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …","10 bulan lalu","Positif","bukit jaddih"
" jalanan kesini rada jelek, dan mayan lah dari kluaran suramadu","4 tahun lalu","Negatif","bukit jaddih"
"Bukit Jaddih merupakan lokasi penambangan kapur yang hingga saat ini masih aktif. Melihat polanya, kemungkinan tambang ini dahulu dikerjakan secara manual sebelum akhirnya menggunakan alat berat seperti saat ini. Pada lokasi yang sudah …","setahun lalu","Netral","bukit jaddih"
"di siang hari tempat ini sangat panas dan pemandangan cukup menyilaukan …","4 bulan lalu","Negatif","bukit jaddih"
"Mmh karena ini penambangan, jadi tiap tahun seakan berubah ubah.
Kalau buat poto cocok pas panas terik. Tapi kalau untuk santai, cocoknya pas teduh pagi atau sorean. …","setahun lalu","Negatif","bukit jaddih"
"Tempat yang Lumayan Bagus , Sepi banget waktu kesini , cocok buat liburan rame rame bareng ,panas banget tapi kebantu angin yang lumayan kencang , 2x tarif di pintu awal dan pintu akhir , tempat bersih , full kapur dari ujung ke ujung , …","3 tahun lalu","Positif","bukit jaddih"
"Tempat yg megah dan mengagumkan. Kalau siang akan silau sekali dan berangin. Disarankan pakai kacamata. Terdapat warung minum dan toilet. Tempat parkir tersedia. Loket masuk area Goa Pote per orang Rp 5.000,- (retribusi mobil dan parkir tdk …","4 tahun lalu","Positif","bukit jaddih"
"Pas ga keliatan putih karena musim hujan.Jalan masuknya ancur.bayarnya banyak","setahun lalu","Negatif","bukit jaddih"
"Toilet kurang bersih. Untuk mendapatkan hasil fto yang bagus lebih baik datang pagi agar matahari tidak terlalu panas.","2 tahun lalu","Negatif","bukit jaddih"
"Baru aja nyobain lagi datang kesini setelah beberapa tahun engga ke bukit jaddih.. entah karena lagi pandemi, yang datang kesini jauh lebih sedikit daripada dulu.. malah tadi saja sendiri saja yang datang.. di pintu masuk, ada retribusi …","4 tahun lalu","Netral","bukit jaddih"
"15menitan setelah keluar dari suramadu. Akses jln masih sempit lewat perkampungan.
Pemandangan sangat bagus bwt yg hobby foto"" sayang blm dikelola dgn baik,, akses …","9 bulan lalu","Negatif","bukit jaddih"
"Wisata Bekas Tambang kapur yang menarik dan eksotis, hanya saja untuk anak2 butuh pengawasan optimal dan lebih berhati2,, tempat parkir luas","4 tahun lalu","Positif","bukit jaddih"
"Kesalahan saya saat berkunjung adalah tidak membawa masker dan kaca mata. Penambangan perbukitan kapur yang terus berlangsung menyisakan bentuk tak beraturan yang indah dipandang, panasnya mentari yang menyengat semakin meningkatkan daya …","2 tahun lalu","Positif","bukit jaddih"
"Banyak pungli masuk motor hari selasa","setahun lalu","Negatif","bukit jaddih"
"Makanya banyak orang yang merasa dirampok disana,, jelas.. Tiap tingkatannya dimintai uang.. Ya ga suka aja digituin","setahun lalu","Negatif","bukit jaddih"
"Untuk pengelolaan bukit jadih tolong ditertibkan banyak iuran
masuk kampung bayar..","2 tahun lalu","Negatif","bukit jaddih"
"Bukit kapur, jalan menuju kesana rusak banget","3 tahun lalu","Negatif","bukit jaddih"
"Sepi, kurang terawat, akses jalan menuju lokasi banyak yang rusak.","4 tahun lalu","Negatif","bukit jaddih"
" pengelolaan nya masih kurang karena setiap tempat yang menjadi pusat untuk berfoto aja masih ada parkir liar …","8 bulan lalu","Negatif","bukit jaddih"
"Puanas.... BerHati hati Banyak Pungutan Tiket Liar... ","2 tahun lalu","Negatif","bukit jaddih"
"fasilitas kurang ","4 tahun lalu","Negatif","bukit jaddih"
"masih belum ada rambu2 atau petunjuk arah jadi orang pendatang pasti masih bingung…","5 bulan lalu","Negatif","bukit jaddih"
"Banyak pungli di setiap objek foto.","4 tahun lalu","Negatif","bukit jaddih"
"hati-hati banyak pungli","2 tahun lalu","Negatif","bukit jaddih"
"Datang disaat tidak tepat, musim kering.
Air menyusut. Banyak sampah. …","3 tahun lalu","Negatif","bukit jaddih"
"Msh banyak kurangnya dan perawatan..... ","2 tahun lalu","Negatif","bukit jaddih"
"banyak pungli yang tidak jelas","3 tahun lalu","Negatif","bukit jaddih"
"jalan rusak parah, banyak pungli tidak jelas","6 bulan lalu","Negatif","bukit jaddih"
"Panas dan berdebu...mohon retribusi biaya masuk jgn terlalu banyak","3 tahun lalu","Negatif","bukit jaddih"
"Danau kering dan panas banget","7 bulan lalu","Negatif","bukit jaddih"
" untuk tiket masuk setiap kawasan haruskah bayar lagi ? Banyak pungli","setahun lalu","Negatif","bukit jaddih"
"kurang dirawat dan banyak pungli","3 tahun lalu","Negatif","bukit jaddih"
"sayang banget banyak pungli disini, mengecewakan sekali","3 tahun lalu","Negatif","bukit jaddih"
"Lokasi wisata dikelola oleh masyarakat sekitar, sehingga menimbulkan kesan yang amburadul. Banyak pungli","5 bulan lalu","Negatif","bukit jaddih"
"masih banyak pungli saat masuk","setahun lalu","Negatif","bukit jaddih"
"tidak ada lampu ditoilet","2 tahun lalu","Negatif","bukit jaddih"
"Sudah banyak berubah yaaa.. airnya jg tidak sejernih dulu. Sampah dimana-mana huhu","4 tahun lalu","Negatif","bukit jaddih"
"terdapat banyak spot foto yg bagus
tarif naik rakit 5k/org dan 1 rakit bisa diisi 8-9 org. jalan menuju bukit gampang ditemukan tapi untuk mobil jalan tsb kecil, tp masih bisa minggir klo gantian …","setahun lalu","Negatif","bukit jaddih"
"akses jln menuju lokasi msh bergelombang.panas","7 bulan lalu","Negatif","bukit jaddih"
"Awalnya saya penasaran sampai akhirnya datanglah ke Bukit kapur yang letaknya ada di pusat kota Bangkalan ini. Ingin melihat langaung dan membuktikan sendiri keindahan bukit kapur yang diberi nama bukit Jaddih ini. Ga hanya lewat foto-foto …","3 tahun lalu","Negatif","bukit jaddih"
"Kunjungan tanggal 21 November 2021. Info tiket untuk pengendara sepeda motor dikenakan tarif Rp10.000,- per sepeda motor. Tiket masuk beda lagi, tiket masuk Rp5.000,- per orang. Saya sempat tanya ke pihak yang meminta tiket masuk, katanya …","4 tahun lalu","Positif","bukit jaddih"
"Tempatnya tersembunyi sekali dan untuk akses jalan kurang memadai.","11 bulan lalu","Negatif","bukit jaddih"
"biasa aja banyak lumutnya
Trus airnya juga, dijaga dari sampah biar lebih jernih","3 tahun lalu","Negatif","bukit jaddih"
" akses kesini jalannya lumayan jelek","4 tahun lalu","Negatif","bukit jaddih"
"banyak punglinya waktu saya kesini dulu.","2 tahun lalu","Negatif","bukit jaddih"
"sangat panas. Fasilitas belum memadai, masih kurang. Pungutan tidak cuma sekali. ","setahun lalu","Negatif","bukit jaddih"
"Hidden gems.. tempat penambangan batu kapur, masih aktif saat ini.. lokasi dapat dijangkau mobil, beberapa spot sudah dibentuk untuk wisata.. punya potensi baik","setahun lalu","Negatif","bukit jaddih"
"Dekat dr Suramadu

Masuk bayar Mobil 20rb, Orang 5rb
Naik ke atas bukit bs pk ojek","4 tahun lalu","Negatif","bukit jaddih"
"Makin bagus dengan adanya air kolam yg beberapa waktu lalu kering, sekarang perahunya sudah bisa operasi, ada kuda joget juga...sayangnya banyak lumut didinding jago gak begitu tampak putihnya...","4 tahun lalu","Negatif","bukit jaddih"
"Tempatnya kalo hari biasa sepi ,panas banget","setahun lalu","Negatif","bukit jaddih"
"KEREN DAN SANGAT MEMANJAKAN MATA.
Saran jam kunjung pagi atau sore ya gaiss.
Jangan lupa tanya warga lokal walapun kita sudah pake maps. Karena jalurnya …","setahun lalu","Positif","bukit jaddih"
"Kawasan bukit bekas penambangan batu kapur ini sangat berpotensi untuk dijadikan wisata tentunya dengan penataan yang lebih baik dari pengelola. Bukit batu kapur dengan liang berbentuk seperti tempat tinggal pada masa jaman batu. Fasilitasnya cukup baik ada toko suvenir, kantin, dan toilet","setahun lalu","Positif","bukit jaddih"
"Instragram bgt...cocok buat yg suka foto2, mobil bisa masuk kearah bukit2 kapur, tiket masuknya 20 rb untuk 2 orang plus mobil, kalo mau ke danau dikenakan tiket lg per orang 5 rb","4 tahun lalu","Positif","bukit jaddih"
"Baru pertama kali tempatnya cukup jauh dari Kota Surabaya, berhati-hati dengan map google titik lokasinya salah, makanya kemarin tanya ke orang desa atau kampung bicaranya tidak begitu jelas, tempatnya tidak memiliki tanda papan nama …","setahun lalu","Positif","bukit jaddih"
"Akhirnya bisa kesini..wisata di bekas areal penambangan...murah meriah, keren sih, lumayanlah..ada pemandunya bisa moto juga..","4 tahun lalu","Positif","bukit jaddih"
"Pergi ke sana bertepatan dengan lebaran adalah bukan ide yang bagus. Ada preman berkeliaran meminta Rp.5000 per orang padahal sudah ada karcis masuk Rp.20.000 - membuat kesenangan seketika hilang. Sepertinya ini pertama dan terakhir untuk …","4 tahun lalu","Positif","bukit jaddih"
"Tempat untuk refresing dan cocok untuk berlibur dengan keluarga. Tempat di madura dan bisa diakses dengan mobil dan motor. Membayar 10b Banyak spot foto dan banyak turis lokal juga kesini","4 tahun lalu","Positif","bukit jaddih"
"Jalan menuju bukit nya parah sihh,","setahun lalu","Negatif","bukit jaddih"
"Waktu itu ke sini, masih omicron.. Sepi","4 tahun lalu","Netral","bukit jaddih"
"Amazeee bgt ya sm tempatnya.. keren.. kesini nya agak sorean jd bisa dpt spot foto yg cantiik. Salah satu wisata yg menarik di madura, bisa kagum sm keindahan bukit jaddih. Apalagi sambil nunggu sunset, makin indah bgt deh.","2 tahun lalu","Positif","bukit jaddih"
"Wisata bukit kapur yg khas di Madura.. Tarif masuk lokasi 10rb per motor.. Kalau masuk area wisatanya ada tarif lagi..
. …","10 bulan lalu","Negatif","bukit jaddih"
"Pertama kali kesini. Tempatnya panas, memang bukit kapur. Ada kolam dengan sedikit air.tapi kotor","setahun lalu","Negatif","bukit jaddih"
"Bukit Jaddih, satu-satunya tempat wisata di pulau Madura yang pernah aku datangi. Tempatnya lumayan bagus. Areal pertambangan yang sekaligus dijadikan tempat rekreasi. Kece bànget tempatnya. Nggak rugilah saya jauh-jauh dari Sumatera mampir …","4 bulan lalu","Positif","bukit jaddih"
"Daya tarik destinasi Wisata Bukit Jaddhih hampir cukup terkenal di kalangan Masyarakat Jawa. Semoga pemerintahan setempat menambah fasilitas hingga Wisata Bukit Jaddih terkenal hingga Mancanegara …","4 tahun lalu","Positif","bukit jaddih"
"tempat bagus buat foto. klo dijogja mirip tebing breksi tp disini lebih besar. karna dibuka belom lama masih dalam penataan wisata. ada kolam renang juga. parkir luas, kita pake bus besar bisa sampe lokasi tidak perlu jalan jauh. tp sayang …","2 tahun lalu","Negatif","bukit jaddih"
"Lokasi bekas penambangan yg kemudian dijadikan spot foto, jalan menuju bukit jaddih lumayan susah, lebih disarankan untuk menggunakan kendaraan roda dua. Harus pandai-pandai untuk mengambil angel foto utk menghasilkan foto yang Ok punya...","4 tahun lalu","Positif","bukit jaddih"
"Sayang pas kesini Air kolamnya  gak ada","4 tahun lalu","Positif","bukit jaddih"
"Seperti selayaknya suasana bukit Kapur pada umumnya yang berdebu, terik panas …","3 minggu lalu","Netral","bukit jaddih"
"Waktu kesana sepi banget, dan yaa kek ada pungli gitu yaa, si bapak2 minta bayar masuk padahal udah ada loket tiketnya. Tapi yauda gapapa bayar ajaa, dripada nnti kenapa2. …","4 tahun lalu","Negatif","bukit jaddih"
"Akses ke wisata ini masih jelek, ada tarik'an d awal yang ngeprank wisatawan, selain itu harga msuk msih ok si..","3 tahun lalu","Negatif","bukit jaddih"
"Tempatnya di Bangkalan
Tempat indah walau hanya bekas galian batu bata, enak buat rekreasi berdua atau rombongan. Ada kolam renang dan Tiket Masuk murah. Kalo cuaca panas enak pake kacamata dan penutup hidung.","4 bulan lalu","Positif","bukit jaddih"
" Banyak pungli, kurang nyaman karena banyak pungli. Panas dan berdebu ternyata","setahun lalu","Negatif","bukit jaddih"
"tempatnya panas banget, untuk pungli tolong dikondisikan, kayak preman, pengunjung jadi takut yang mau kesana","10 bulan lalu","Negatif","bukit jaddih"
"Tempat rekreasi ya lumayan murah meriah.akses jalan tergolong sedang sebab masih ada yg belum aspal.kalau tempat rekreasi ya tergantung penikmat nya kalau suka alam ya pasti klik ni tempat nya.tiket masuk tempat rekreasi 15 ribu.tiket masuk …","4 tahun lalu","Positif","bukit jaddih"
"Pastinya panas banget, ","3 tahun lalu","Negatif","bukit jaddih"
"wisata sangat panas dan berdebu","3 tahun lalu","Negatif","bukit jaddih"
"Momen paling bagus saat musim hujan akan berakhir. Rumput menghijau, cuaca tidak terlalu panas.","4 tahun lalu","Positif","bukit jaddih"
"Awal masuk biaya persebeda motor 10.000, biaya parkir 10.000. Kalau saat ini bangunan nya warna nya lebih ke menghitam,  area kurang di perhatikan untuk perbaikan tempat wisatanya.","2 tahun lalu","Negatif","bukit jaddih"
"Suka sama pemandangannya, warna airnya bagus (kalau pas musim panas), banyak spot untuk foto. Jalanan menuju kesana gampang n g parah2 banget.. …","4 tahun lalu","Negatif","bukit jaddih"
"Tempatnya keren. Cuma mungkin akses jalannya perlu diperbaiki ya. Pengelolaannya juga kalau lebih bagus lagi tempat ini akan jadi lebih baik dan tentunya akan banyak mengundang wisatawan","4 tahun lalu","Positif","bukit jaddih"
"Alhamdulillaah... sampai juga di Bukit Jaddih (Bangkalan, Pulau Madura).
Tempatnya potensial untuk wisata, namun pengembangan wisatanya perlu ditingkatkan.","4 tahun lalu","Positif","bukit jaddih"
"Pas pertama ke sini, musim hujan. Air di danau nya bgs. Ke sini lg yg kdua pas musim kering. Tapi ttp bagus. Cuma debu aja. Jd kl pas musim panas ke sana sebaiknya pake masker.","4 tahun lalu","Positif","bukit jaddih"
"Berada di daerah bangkalan madura. Akses jalan kesana bisa menggunakan motor maupun mobil. Tempatnya bagus. Tp hrs siap2 bawa payung,atau topi,dan sunblock krn panasnya luar biasa","2 tahun lalu","Positif","bukit jaddih"
"Bukit kapur dengan bentukan2 yg tertata, ada bentukan kotak yg besar menjulang, ada tangga2 yg bisa dinaiki smp bagian atas ruangan tertentu, ada  galian yg membentuk semacam kubangan besar yg terisi air ...bila tidak hujan airnya menjadi …","setahun lalu","Positif","bukit jaddih"
"Saya kasih bintang 1 dulu. Klo sudah tdk ada banyak pungli baru saya kasih bintang 5🤣 …","4 tahun lalu","Positif","bukit jaddih"
"Tempatnya keren buat berlibur, apalagi jembatan suramadu sudah gratis, kalo kesini harus berhenti yang di ""GOA POTE"" masuknya per orang Rp. 5.000 karena itu bener bener one stop destination gitu ada perahu, ada parkiran, ada toilet, ada …","4 tahun lalu","Positif","bukit jaddih"
"Tempatnya indah, bagus banget view nya utk foto"" ,cuman lebih dikelola lagi aja sama pemerintah sama dikasih bimbingan ke warga sekitar ,  karena disini  banyak pungli ,pertama masuk ke kampungnya kena bayar ,,trus masuk kearea tambangnya …","2 tahun lalu","Positif","bukit jaddih"
"Tempatnya agak mbrasak jalan masuknya agak rusak dan berdebu jadi siapin masker dan biasanya ada warga yang meminta biaya illegal seperti satu mobil sepuluh ribu sama per orang lima ribu dan itu nggak sekali tapi berkali kali seharusnya …","sebulan lalu","Negatif","bukit jaddih"
"Kepengen coba rekreasi di Madura, ternyata tambang batu kapur yang masih aktif, parkir sekali masuk dipatok per orang 5000 rupiah, menurut aku sih lumayan","4 tahun lalu","Positif","bukit jaddih"
"ما شاء الله.
Keren banget tempatnya..instagramable..
Tapi ada yg perlu diperbaiki..yaitu akses jalan menuju lokasi (ada bbrp titik …","3 tahun lalu","Negatif","bukit jaddih"
"Udara panas....akses jalan menuju lokasi masih sepi...pinter2 cari angel unt dapat foto yg bagus.. spot foto banyak...bawa air putih sendiri, krn tdk ada yg jualan...udara yg panas bikin gampang lelah dan haus","4 tahun lalu","Negatif","bukit jaddih"
"Tempatnya panas. Biasa aja","4 tahun lalu","Negatif","bukit jaddih"
"Sebenarnya areanya bebas untuk dijelajahi, namun bila ada aktivitas penambangan dilarang untuk mendekat, bagi yang ingin mendapat spot terbaik naik keatas bukit yang ada rumputnya, tapi hati² saat naik karena batuan kapur yang bisa longsor sewaktu waktu","2 tahun lalu","Positif","bukit jaddih"
"Jalanan k tempat agak susah. Lagi beruntung karena hari biasa dan siang hari, jadi tidak ada pengunjung lain. Serasa VIP 😎 Mas nya baik banget nunjukin tempat2 foto, semi tur guide, sekaligus jd fotografer  🤭 …","4 tahun lalu","Negatif","bukit jaddih"
"sepi tidak ada pengunjung, banyak pungli","8 bulan lalu","Negatif","bukit jaddih"
"Kalau masuk kesini bayarnya 3 portal, 1 portal kampung, 2 portal masuk wisata, 3 portal masuk telaga. Utk tempat lumayan instragameble, disana juga ada org juala mknan dan minuman ringan, meskipun gk banyak yg jualan tp ada.","4 tahun lalu","Positif","bukit jaddih"
"Tempat nya bagus, panas lumayan menyengat. Kebersihan kurang terjaga. ","2 tahun lalu","Negatif","bukit jaddih"
"Kalo untuk tempat sangat bagus dan strategis,tapi sangat di sayangkan untuk menuju ke tempat tersebut kita harus mengocak lumayan uang yg harus di keluarkan,sperti tiket parkir yang begitu mahal,sebelum masuk pasti di berhentikan untuk …","2 tahun lalu","Negatif","bukit jaddih"
"Tempatnya bagus dan sangat berpotensi untuk pariwisata.
Bisa di lihat dari foto2 yang yang sy upload.
Pengunjung banyak yang dari Surabaya, Sidoarjo, dan daerah lainnya walopun yang …","3 tahun lalu","Positif","bukit jaddih"
"Tempat wisata dengan gua buatan,
Cukup bagus untuk sekedar melepas lelah saat melintasi jembatan suramadu😁
Biaya akomodasi dr biaya masuk, parkir kendaraan sampai tiket masuk cukup tinggi …","4 tahun lalu","Negatif","bukit jaddih"
"Jika tidak di kelola dg baik, saya khawatir tempat ini makin lama akan punah. Krn banyaknya penambang batu yg membuat cepat habis bebatuan di tempat wisata ini.","4 tahun lalu","Negatif","bukit jaddih"
"panas sekali, berdebu dan minim tempat berteduh","4 tahun lalu","Negatif","bukit jaddih"
"ketemu banyak sekali pungli","3 tahun lalu","Negatif","bukit jaddih"
"jalan menuju ke wisata rusak banget, banyak pungli","2 tahun lalu","Positif","bukit jaddih"
"Pas Dateng ke sini hari Senin, cuma berdua sama temen. Sampe ke bukit sekitar jam 10 an. Ternyata belum ada temen wisatawan yang lain berkunjung. Berasa wisata horor agak 😳... Tapi setelah berkeliling beberapa saat datang rombongan …","4 tahun lalu","Negatif","bukit jaddih"
"Tempat wisata yg eksotis pemandangan Bagus, cocok buat foto foto. Saran kalo kesini pagi atau agak sore, udaranya seger","4 tahun lalu","Positif","bukit jaddih"
"Lokasinya sendiri cukup menarik, meskipun jalan masuk agak susah karena masih asli juga sangat berdebu dan petunjuk ke lokasi masih sederhana. Untuk pesepeda seperti saya gak usah parkir tapi bisa bawa masuk sepeda ke dalam.","setahun lalu","Positif","bukit jaddih"
"Sayangnya untuk kebersihan kurang diperhatikan","3 tahun lalu","Positif","bukit jaddih"
"Wisata lokal yg indah, pemanfaatan tambang batu kapur menjadi wisata.. Ada goa buatan.. Bisa lihat sunset di puncak tebing","4 tahun lalu","Netral","bukit jaddih"
"Aslinya ini kan tempat penambangan batu kapur. Tapi jadi tempat wisata karena lokasi bekas hasil penambangan nya jadi epic. Banyak spot foto yang bagus sih disini. Kalau mau eksplore madura coba juga buat wisata kesini.","4 tahun lalu","Positif","bukit jaddih"
"Dulu ramai,kini sepi krn pendemi","4 tahun lalu","Negatif","bukit jaddih"
"Spot foto instgramable banget. Semua tempat bisa dijadiin spot foto.
Ada 2x bayar. Yg pertama waktu masuk awal kawasan perkendaraan beda2.
Yg kedua mau masuk danau(yg cuma ada pas hujan) bayarnya diitung perorangan.
Kesana sore jadi gk panas.","4 bulan lalu","Positif","bukit jaddih"
"Jalan menuru lokasi tdk terlalu luas, masuk desa2. Saat kesana cuaca mendung jadi tdk panas.","4 tahun lalu","Positif","bukit jaddih"
"Bukit kapur biasa, tak ada yang spesial. Objek yg ""dijual"" hanya bekas gua2 dan lubang penambangan. Selebihnya tak ada yg bisa dinikmati. lokasi lumayan jauh dan jalan kurang begitu baik. Retribusi masyarakat dimana-mana, menambah …","2 tahun lalu","Negatif","bukit jaddih"
"Tidak termanage dengan baik , tiket masuk bayar 2x ... fasilitas minim, bagi penghobi Selfi sangat bagus ,banyak sport foto","setahun lalu","Negatif","bukit jaddih"
"tempatnya panas, dan jalan menuju tempat ini terbilang agak sulit untuk kendaraan mobil atau bis.","4 tahun lalu","Negatif","bukit jaddih"
"Sempat ke goa pote aja
Bukit jaddihnya jarang yang kesana sekarang. Padahal dulu bagus","4 tahun lalu","Negatif","bukit jaddih"
"Ga dikelola secara khusus. Mungkin karna emang area pertambangan aktiv ya.. masih ada aktivitas.
Bagus buat spot foto, tapi air kolamnya ga selalu ada. Musim hujan aja ga tentu …","4 bulan lalu","Positif","bukit jaddih"
"Ada 2 pos pembayaran yg paling depan pak Ogah, yg dekat warung itu yg resmi, setelah itu parkir harus bayar per orang 5000 bukan per mobil 😓. Semoga bukit jaddih bisa dikelola dengan baik agar lebih bagus, terawat, dan terbebas dari pungli pak Ogah dan mak Ogah …","4 tahun lalu","Negatif","bukit jaddih"
"Berlokasi di Pulau Madura.
akses jalan terjal dan berdebu.
namun sebelum memasuki daerah objek wisata jalan sudah beraspal yang beberapa …","setahun lalu","Netral","bukit jaddih"
"Salah satu Wisata Bukit Kapur terbaik di Jawa Timur, sangat cocok untuk berfoto selfie bersama keluarga dan teman. Mantapp...👍🙏🤩 …","3 tahun lalu","Positif","bukit jaddih"
"Pemandangan indah sekali. Tapi jalanan menuju lokasi masih kurang memadai. Tiket masuk mobil 10rb, tiket per orang 5rb.","setahun lalu","Negatif","bukit jaddih"
"Tambang Kapur di daerah bangkalan, Suramadu yang masih aktif dan digunakan juga sebagai tempat wisata Goa dikarenakan penambang membentuk Pola Jalur Goa di dalam tambang. Cocok untuk Offroad juga lokasinya.","4 tahun lalu","Netral","bukit jaddih"
"Tempatnya sangat amazing...disarankan untuk datang pagi hari...di semua sudut adalah spot foto...akses jalan masuk offroad...banyak gua","setahun lalu","Positif","bukit jaddih"
"Bukan tempat wisata ideal. Hanya sisa foto aja yg cakep. Ga ada pengelolaan yg baik.
Hanya tukang karcis kl dilewatin pasti ngejar. …","4 tahun lalu","Positif","bukit jaddih"
"kalau siang panas banget","setahun lalu","Negatif","bukit jaddih"
"Bagus. Termasuk wisata khusus bukit kapur. Sangat disarankan kesana saat setelah musim hujan, karena danaunya akan ada airnya. Kalau musim kemarau danau akan kering. Ada goa goa kapur yang dibuat ornamen. Bagus untuk berfoto  ria. Kalau …","2 tahun lalu","Positif","bukit jaddih"
"Masih alam banget. Banyak truk ambil batu kapur. Tempat nya luas.","setahun lalu","Negatif","bukit jaddih"
"tempat berteduhnya minim cuma di warung-warung. Masuk banyak pungli","4 tahun lalu","Negatif","bukit jaddih"
"Tempat penghilang penat dari kesibukan dikantor yg bersahabat dgn dompet, hanya akses dr jalan raya yg perkampungan msh sempit. All around very nice.","3 tahun lalu","Positif","bukit jaddih"
"banyak view foto keren di wilayah sini..
cocok bagi kalian yg lg hunting tempat buat prewedding outdoor.","setahun lalu","Positif","bukit jaddih"
" akses jalannya saja perlu diperbaiki","setahun lalu","Negatif","bukit jaddih"
"Meskipun SDH sepi... Tpi klo di sore hari asyik dong","3 tahun lalu","Positif","bukit jaddih"
"Panas, debu banyak, harus pake masker","setahun lalu","Negatif","bukit jaddih"
"Jalan menuju bukit jaddhih goyang2 pas naik bis.","setahun lalu","Negatif","bukit jaddih"
"Jalanan menuju tkp berdebu dan rusak,,taman wisata kurang terawat. Cuaca panas terik.","setahun lalu","Negatif","bukit jaddih"
"Klo kesana mending pake jasa guide. Jd bisa ngarahin spot2 yg bagus utk foto2. Biar potonya keren","4 tahun lalu","Negatif","bukit jaddih"
"Disini cocok dikunjungi pada saat sore / pagi hari karena terik matahari tidak terlalu menyengat. Suasana di bukit jadih sejuk, pada saat saya main kesana cuaca terik panas akan tetapi tiba tiba turun gerimis meskipun cuma sebentar tetapi …","setahun lalu","Negatif","bukit jaddih"
" tempatnya kurang terawat, banyak kios penjual makanan yg tutup, akses jalan kurang dirawat, agak menyulitkan bus …","3 bulan lalu","Negatif","bukit jaddih"
